75	3	(A B C)
tip_1	000
tip_2	100
tip_3	100
tip_4	010
tip_5	011
tip_6	100
tip_7	110
tip_8	100
tip_9	011
tip_10	100
tip_11	111
tip_12	001
tip_13	111
tip_14	011
tip_15	011
tip_16	100
tip_17	001
tip_18	111
tip_19	011
tip_20	000
tip_21	101
tip_22	110
tip_23	001
tip_24	110
tip_25	111
tip_26	111
tip_27	011
tip_28	000
tip_29	100
tip_30	110
tip_31	001
tip_32	111
tip_33	100
tip_34	101
tip_35	010
tip_36	111
tip_37	101
tip_38	010
tip_39	011
tip_40	111
tip_41	000
tip_42	111
tip_43	110
tip_44	101
tip_45	100
tip_46	001
tip_47	101
tip_48	010
tip_49	010
tip_50	111
tip_51	100
tip_52	010
tip_53	000
tip_54	000
tip_55	010
tip_56	111
tip_57	110
tip_58	101
tip_59	111
tip_60	011
tip_61	100
tip_62	110
tip_63	100
tip_64	111
tip_65	100
tip_66	001
tip_67	001
tip_68	001
tip_69	001
tip_70	100
tip_71	101
tip_72	110
tip_73	000
tip_74	110
tip_75	010
